area_sqft,bedrooms,bathrooms,floors,age_years,location_score,price
1160,1,1,2,13,3.31,8401256
4072,4,1,3,19,8.35,25137472
3392,2,3,3,38,5.1,20010612
766,4,1,1,35,6.79,7696768
4726,5,1,1,26,9.02,28925792
3744,3,2,2,16,7.94,22940860
3471,4,2,1,25,8.96,21379145
3219,3,3,3,40,1.09,17616694
430,2,3,1,3,2.69,4918443
1985,4,3,1,2,4.81,14299228
1069,4,3,2,18,8.63,11071272
2691,2,2,2,40,8.55,16114131
2733,2,3,3,39,2.67,15227238
1484,1,3,1,38,2.28,7735327
4855,5,1,1,6,8.51,30125304
3685,4,3,1,35,5.87,21666152
4417,4,4,2,18,6.64,27081822
3204,2,1,3,11,8.28,20319380
774,2,2,1,19,2.91,5379155
1382,5,4,1,37,2.23,8902749
2858,2,3,1,11,8.73,18791539
2347,3,1,1,28,2.01,12574385
3047,3,3,3,29,1.79,16600240
1275,3,1,3,19,3.49,9187632
2106,3,3,3,3,3.85,15346611
489,5,4,2,1,3.17,7159409
3034,4,2,1,46,7.67,18538465
3305,3,4,1,29,9.76,21667091
4958,2,4,1,22,2.8,26403429
2199,3,2,1,5,8.04,16257394
1567,5,1,3,17,1.4,9293650
1828,2,1,2,21,2.07,10704727
3502,3,2,2,36,5.64,20432761
3856,4,3,1,3,10.0,25986683
4190,2,1,3,42,9.54,24741660
946,2,4,2,10,2.01,6611095
3188,4,2,2,40,3.16,17283017
2735,2,4,1,34,9.51,18416889
900,3,1,2,10,2.36,7028653
2663,2,2,1,33,7.69,16548833
2361,3,2,3,8,1.01,13793833
541,4,1,1,30,6.69,5379801
2341,1,1,2,41,5.45,12769575
3124,4,2,1,31,5.24,17721112
2912,3,3,1,42,8.46,18269258
1663,5,2,1,34,1.73,8390909
1778,4,3,1,48,4.4,10336077
2856,5,4,1,10,5.01,19720636
1075,5,3,1,16,2.12,8065853
4314,3,3,2,35,1.77,22441623
334,3,1,1,1,2.62,5535198
3452,1,2,2,23,3.17,18676089
2255,2,4,1,45,9.69,15945098
1885,4,2,3,14,5.28,13247915
4243,3,3,1,27,5.59,24707405
3373,4,3,2,2,7.36,23455325
1321,5,3,2,28,7.16,11043674
3761,2,2,3,44,5.52,20591779
2913,1,3,1,12,4.06,17496531
4143,4,2,3,49,3.98,21912506
1800,2,4,1,21,1.52,11238735
461,1,4,1,30,9.1,5874243
4597,4,2,2,6,7.92,27482006
2281,2,4,3,47,6.61,14000094
1295,3,1,3,47,4.56,7781028
3642,4,3,2,25,6.24,20828511
4851,2,3,2,30,5.37,26910736
4098,1,3,3,37,3.47,21334215
1575,2,1,2,37,3.69,8877114
1316,3,3,1,3,8.87,11582962
637,4,2,3,34,6.71,7050749
1178,4,3,3,32,1.01,7437900
1376,4,2,2,2,3.94,10029269
4293,3,4,1,18,4.06,25246348
679,1,2,3,8,7.36,7746213
792,4,2,3,45,7.3,6933921
2362,1,2,1,18,5.18,13954159
4184,2,3,2,18,9.56,25814998
364,1,1,2,25,8.85,4778788
2868,1,1,2,12,8.8,19220604
2327,4,2,2,21,4.13,15206444
2995,5,3,1,47,4.88,17165489
1795,5,1,1,7,4.77,12688753
691,3,4,3,23,4.96,6497644
4814,3,4,3,25,9.0,29205864
4774,5,3,1,47,3.24,25705923
3861,2,4,3,40,8.22,23301438
2578,4,4,1,40,5.63,15937406
3399,4,4,2,2,3.24,20546338
500,2,1,1,6,5.75,5588513
3404,2,4,1,49,2.76,17797782
4898,5,2,3,1,1.97,27732009
2754,3,2,1,32,8.54,18226379
3945,2,4,2,11,7.29,24282893
1104,3,2,2,47,2.84,5686535
3031,1,1,3,11,9.48,19801632
3073,4,3,3,9,1.22,18055459
1870,5,2,1,40,4.0,12177921
2990,4,4,3,26,1.19,17098576
4140,5,3,2,17,2.28,23960540
1328,1,3,3,3,2.62,9314064
802,4,4,3,39,8.29,8838710
4793,1,2,2,22,9.94,29002175
1170,5,1,1,20,8.81,10268857
4788,2,2,1,35,6.72,26234776
506,4,2,3,29,7.51,6528482
1784,1,1,2,47,5.71,10614953
1163,4,3,2,20,4.8,9013436
3090,4,1,2,22,7.23,18330797
863,4,1,1,20,9.76,9673759
4491,3,4,2,7,1.26,24722438
2057,1,4,2,38,3.83,11650383
1978,1,2,1,12,3.97,12034273
3542,4,4,2,39,4.73,19411894
4936,2,1,1,21,6.64,27147263
1359,4,1,3,6,5.62,11521437
2022,3,4,3,23,1.17,12059709
3614,5,4,3,4,4.7,23478176
3457,3,4,3,49,6.58,20925746
2925,2,1,3,25,5.54,16524635
3029,4,3,1,9,8.85,20519361
1897,1,3,1,10,4.59,12315749
3360,4,4,1,39,1.11,18700612
2993,2,2,2,37,3.56,15798883
3927,1,2,3,10,2.22,21837157
1663,3,3,2,47,3.25,10207366
2281,5,4,2,29,4.26,15204161
1963,5,1,2,3,7.09,15256673
1829,4,2,3,1,3.92,12854540
2338,3,2,2,12,8.96,17317867
3602,2,1,3,38,3.7,18536881
2537,5,1,3,16,2.23,15677767
1606,3,4,3,22,2.52,9721938
4329,4,1,2,44,9.41,26302391
2975,1,1,3,9,5.09,17337091
1582,4,1,3,12,4.63,11281300
1009,4,3,1,41,1.62,6926164
4713,3,1,2,38,7.6,26829364
4048,5,2,1,41,7.25,23276807
963,3,4,1,28,4.38,7577097
2298,1,4,2,15,7.23,15678097
3745,3,4,1,2,4.31,22910430
4043,2,3,3,35,1.66,21173822
1795,4,2,1,3,7.64,13969924
3604,5,1,1,35,9.69,22839757
4063,1,2,3,15,6.83,23820462
2153,4,4,1,40,3.49,12274056
4959,3,1,3,5,3.43,27809204
1591,2,4,2,41,9.36,11839055
3881,3,4,1,27,3.73,22069895
3757,4,4,2,35,7.91,23096943
1936,1,2,1,22,6.79,11985953
3996,5,2,3,11,6.33,25061229
3299,4,4,1,41,2.63,18042785
3452,1,4,2,30,1.31,17902975
998,4,1,3,11,5.4,9417809
2460,2,4,3,31,9.89,16694450
4397,3,4,2,24,2.76,25281496
1154,5,4,2,28,5.83,10645813
3774,1,4,1,18,7.04,23040110
2007,5,2,1,21,5.35,13338640
3077,5,4,3,23,5.56,19995706
2033,5,3,2,32,6.95,14379341
3810,1,4,2,35,8.33,22171252
502,1,2,1,44,4.0,3794653
3555,5,3,1,39,9.09,22210849
4518,3,3,3,45,5.36,23708110
4796,4,4,2,15,6.96,29553060
1066,5,4,2,1,1.96,9918743
4689,2,2,2,7,5.43,27034994
2627,5,3,2,12,1.14,16201203
3231,1,3,1,29,4.52,18235447
497,4,2,1,0,1.49,5093228
2230,2,4,1,11,9.07,17612684
3882,4,1,3,48,7.06,21875364
908,4,1,2,6,8.13,9717646
3572,2,3,1,47,5.21,18884841
1447,5,3,2,13,8.67,13381234
4582,5,4,1,41,8.86,27700111
3697,5,1,3,34,4.21,21549613
2811,3,3,1,27,4.39,16000879
2094,5,4,3,11,5.57,15536006
959,2,1,2,39,1.38,5193904
3111,3,2,1,47,9.96,18480877
1669,5,3,1,23,4.23,11832161
2286,3,2,1,0,5.24,15152509
446,2,1,2,16,7.79,5996868
3519,5,4,3,37,3.68,20755821
3211,1,4,3,27,2.81,17978360
2034,2,1,1,32,2.15,10508464
2143,4,2,2,23,5.75,13697776
788,4,4,3,46,1.05,4927874
3276,2,3,3,44,7.39,19398116
2259,4,2,3,5,5.15,15662163
2685,2,2,3,20,5.79,16627897
3219,1,3,3,44,3.37,16977804
2102,2,1,1,3,2.6,13568108
4361,5,4,1,32,7.3,26169522
3669,5,2,1,9,2.89,21702296
562,3,4,3,35,8.02,6807686
923,4,4,3,12,2.83,7884009
1316,4,2,3,35,6.51,10925201
3943,2,1,1,47,6.79,21812602
2349,4,2,3,8,5.55,16503582
4023,5,1,1,30,9.97,24552521
4848,1,3,3,3,4.38,28186447
3408,2,1,1,19,8.95,20618741
4390,4,1,2,7,2.52,24974789
2356,5,2,3,26,4.03,14997102
3470,3,4,3,35,2.31,19835137
1982,4,4,1,8,6.43,14483469
2555,1,1,3,42,6.74,15100540
1454,1,1,1,23,5.08,9498277
4799,4,2,1,36,7.48,27053043
3491,4,1,2,40,8.81,21447423
1996,5,2,2,39,7.99,13851033
4291,4,3,3,29,3.17,24002011
4982,3,1,3,25,3.88,27077771
1948,5,3,1,3,4.42,14138140
1745,2,1,1,0,2.83,11328111
4499,3,1,1,19,4.25,25259856
4223,5,3,1,27,3.14,23931647
553,5,3,3,44,9.96,8039020
3483,1,2,2,23,8.05,21397920
2857,5,2,3,27,8.74,20031209
398,3,3,3,27,9.3,7152959
2500,4,1,3,4,6.99,17517941
3261,3,2,2,31,2.58,18453345
4733,2,1,3,29,7.83,27159922
4077,5,4,2,20,1.14,23085909
3169,5,2,1,41,2.02,15892357
3534,5,2,3,15,1.27,19827952
4091,5,2,1,7,2.22,23892788
1256,1,4,1,11,7.77,11258698
4367,1,3,1,31,8.97,25692247
460,4,1,3,24,3.51,5158181
4793,5,4,1,2,2.07,27979380
1600,2,3,3,25,3.46,10302266
4287,4,2,1,35,6.82,24194145
1827,5,3,3,16,4.15,13365118
1518,1,3,3,26,9.65,11381051
4796,2,3,3,21,2.18,26197944
3404,4,1,1,44,9.91,21543931
3035,2,3,3,37,1.11,16063097
4855,5,3,1,34,5.07,27615702
1254,3,3,2,45,3.27,8172312
4865,2,3,1,6,6.1,28241797
3746,2,4,1,2,1.87,22174955
1345,1,4,3,5,8.88,12588841
1993,5,3,1,12,2.23,13075301
3736,2,3,2,45,6.29,19847587
862,5,3,3,14,1.3,7129015
2785,1,2,1,25,3.8,15488401
3654,5,3,1,47,2.35,19772204
525,1,3,3,32,9.8,7524867
1259,1,4,3,14,1.11,8599110
4848,4,4,1,38,4.17,26771029
3367,5,4,1,40,3.72,19145945
1115,3,1,3,46,6.92,7177291
4942,4,2,3,13,1.51,27597761
3420,1,3,2,18,8.3,21402415
316,3,4,2,27,5.2,5321435
1543,2,1,2,23,5.07,10381994
2505,2,3,3,49,3.04,13161045
2824,4,3,3,40,5.41,17287812
1369,3,4,3,32,4.28,9781544
3744,5,3,1,11,3.21,22710154
2865,3,3,3,9,2.52,17207116
1360,4,3,1,6,7.56,11676305
2627,5,4,3,45,2.28,15143567
3720,5,1,3,0,2.51,22243984
601,2,3,1,14,6.19,6377569
4576,3,1,3,0,3.03,25881034
906,5,3,3,44,5.13,8076322
3470,4,4,3,19,5.98,21728733
999,2,1,2,1,3.47,8525475
1439,5,4,3,2,4.09,13074141
490,3,2,1,35,2.89,3730363
2600,2,3,1,15,5.14,15839245
1280,3,2,1,28,9.93,10452014
3275,3,2,3,43,4.26,18759961
1484,3,2,1,35,6.88,10346367
3627,2,3,2,43,6.72,20766974
3694,5,4,1,38,8.08,22618567
427,1,2,3,2,7.41,6643276
2365,5,1,2,36,1.11,14325719
2116,2,3,1,43,3.78,11522021
869,1,4,2,11,8.83,8255421
2195,1,4,1,19,5.86,14131923
3033,1,2,3,22,1.94,16268632
4163,4,3,2,21,3.49,24149218
4314,2,2,1,31,3.55,23133428
3201,4,1,1,6,8.86,21913399
1986,1,4,2,21,5.98,12196916
3309,4,4,2,43,6.47,20111591
454,4,3,2,1,4.3,7268597
2837,2,4,2,13,1.54,16195628
1709,3,3,1,15,1.68,10454223
4357,4,2,1,23,4.78,24616518
1084,4,1,1,6,2.6,7978757
3475,1,3,3,3,1.94,20441889
4641,1,2,2,36,3.36,23825754
3106,1,1,1,45,7.68,17847143
837,5,4,2,40,1.66,5226183
2141,4,1,2,4,5.03,14126554
2755,1,1,1,1,8.43,18337054
824,2,1,2,4,3.41,6380737
3250,5,4,2,2,3.72,20213470
4431,3,3,2,41,8.96,26615871
4415,4,3,2,7,6.85,27334066
2668,4,1,2,25,8.18,17610341
4147,2,2,1,9,3.6,23719660
4795,3,2,1,33,9.97,27587017
3001,3,1,2,45,2.27,15113552
1271,5,1,2,35,9.66,11108147
1466,4,2,2,11,9.12,12118645
3074,1,1,3,19,5.97,17566055
2282,2,1,2,28,6.27,13968857
1153,2,3,3,13,7.98,10565560
4446,2,3,3,47,3.76,23437982
4036,2,1,3,4,5.75,23590040
4069,1,1,1,47,9.12,22377463
874,1,4,3,26,1.61,5656258
3561,5,3,2,3,9.15,24602432
1448,4,1,2,28,7.56,11836515
2015,1,4,1,2,7.93,14944940
4154,5,4,1,32,1.58,21798754
2791,3,4,2,29,2.69,16531525
2960,4,4,1,35,9.33,19774615
3424,1,3,1,8,2.12,18851726
3351,3,4,3,0,6.68,21982903
304,5,3,3,47,8.04,6165345
1176,1,4,1,22,3.08,8564716
1291,1,4,2,2,7.29,10782807
4442,3,2,3,31,1.59,24664342
4664,1,3,2,23,5.49,26307981
4765,2,2,1,5,4.01,28098321
935,1,2,2,12,6.81,7637528
1993,4,4,2,48,9.0,13710655
1982,3,3,2,14,2.13,11288565
419,4,1,2,29,5.05,4775524
1130,5,4,1,11,4.81,10396141
3975,4,3,1,39,3.91,22866907
1669,2,2,3,47,5.32,9722277
1040,2,3,3,34,8.93,9405623
416,4,4,3,27,9.76,7439126
3138,5,3,3,3,1.03,19364458
1450,1,2,2,6,7.65,11449118
2231,2,3,3,46,6.54,13490394
1312,4,3,3,42,9.95,10321775
1964,4,2,2,15,1.81,12342372
1381,4,4,1,21,8.3,12562955
812,1,1,3,45,9.41,6395757
3149,3,2,1,44,9.21,19640922
859,5,2,3,40,6.05,7610839
3972,3,4,1,24,3.95,21557187
4883,5,4,3,49,6.76,27751765
3643,5,3,1,2,3.75,22231854
4370,4,2,1,21,4.71,25156932
1770,2,3,3,30,5.01,11782855
880,4,3,1,36,3.72,6607827
2594,1,4,3,21,4.08,15950571
3447,5,4,3,26,1.07,19162700
4549,2,3,2,1,3.67,26072555
1979,5,2,3,21,5.25,13721981
3806,5,2,3,16,2.56,22689047
3044,4,3,3,47,8.25,18001035
3656,2,1,3,19,5.84,21717270
4345,2,1,2,23,8.14,26183289
1543,5,4,2,44,2.15,9538741
3418,2,2,2,30,8.38,22401442
2441,2,3,2,42,9.62,15709890
3359,4,3,1,7,4.17,20494354
4848,3,2,3,4,3.56,27436436
3259,1,4,2,1,6.82,20762130
2565,3,4,3,3,6.72,18325982
2779,2,1,2,34,2.01,14416164
4946,5,2,3,33,9.34,29255021
1935,1,2,1,2,5.31,12253314
2057,1,3,2,47,7.88,12709360
4752,5,2,1,19,4.23,27042229
2370,1,1,1,8,3.35,13788267
3149,5,2,3,5,2.0,20257008
3551,1,3,2,46,3.47,18867611
4030,3,1,1,4,9.94,25407553
2789,1,3,3,40,6.92,16918687
1931,4,2,3,37,8.23,14058117
3116,5,4,3,34,9.63,20979477
1315,1,2,1,30,1.71,6903410
1648,5,2,3,12,2.48,10993685
4911,4,3,3,25,9.35,30481295
3387,1,4,3,21,6.08,20286554
3139,1,2,1,31,6.71,18083783
635,4,1,3,14,4.85,7322072
4892,4,1,1,10,8.33,29358703
1195,4,3,3,15,5.66,11469147
3846,5,3,1,46,8.44,22793040
1151,4,4,1,5,9.93,11941529
1987,5,3,2,45,6.82,12961748
2231,3,4,2,10,5.76,15043811
4046,1,2,2,9,4.29,23198859
2727,1,1,1,15,2.75,15489360
1868,2,1,3,11,6.91,13113163
4300,3,1,3,6,1.56,23894846
3038,4,3,1,38,9.61,19689632
3798,4,3,3,26,6.83,23818708
4213,3,2,1,23,9.63,25414270
1366,4,3,3,49,3.45,8598752
4680,2,4,1,14,9.52,28774075
2744,5,1,2,5,6.51,18778896
4407,1,2,2,18,8.29,25988477
3673,3,4,3,7,2.61,22220466
4269,1,4,3,46,5.5,22947693
2846,5,3,3,35,6.12,17891810
1053,3,3,3,49,4.54,6785682
2382,5,1,2,12,3.28,14792586
3074,4,2,2,32,9.14,19884271
3196,4,4,1,31,1.77,18284441
4485,4,3,3,27,2.39,24389767
1075,5,3,2,39,3.88,8336948
1925,5,2,1,48,9.28,13320928
3369,5,2,1,9,6.08,20898225
717,1,3,1,32,4.36,4947783
414,5,3,2,0,4.62,7296818
916,4,1,1,20,8.54,8526899
4274,2,2,3,4,1.24,24619054
3567,5,4,1,0,1.1,21294511
1125,2,3,1,20,1.41,6190101
1816,4,3,2,24,5.22,12049556
